# id	category	input	expected_phrase	expected_uk	expected_us(=same)
# now = 2026-09-24T14:00 Europe/London (Thursday). Values are local. Date-only = YYYY-MM-DD, timed = YYYY-MM-DD HH:MM, "-" = no date expected.
# Todoist semantics: bare time already past today rolls to tomorrow; past day-month rolls to next year; "next <weekday>" = UK/Todoist "of next week".
T01	todoist	Call mum today	today	2026-09-24	=
T02	todoist	Call mum tod	tod	2026-09-24	=
T03	todoist	Call mum tomorrow	tomorrow	2026-09-25	=
T04	todoist	Call mum tom	tom	2026-09-25	=
T05	todoist	Plan sprint next week	next week	2026-09-28	=
T06	todoist	Pay invoice next month	next month	2026-10-24	=
T07	todoist	Renew passport jan 27	jan 27	2027-01-27	=
T08	todoist	Renew passport 27 jan	27 jan	2027-01-27	=
T09	todoist	Renew passport 27/1	27/1	2027-01-27	=
T10	todoist	File taxes 01/27/2027	01/27/2027	2027-01-27	=
T11	todoist	File taxes 27/01/2027	27/01/2027	2027-01-27	=
T12	todoist	File taxes 2027/01/27	2027/01/27	2027-01-27	=
T13	todoist	File taxes 2027-01-27	2027-01-27	2027-01-27	=
T14	todoist	Water plants 27th	27th	2026-09-27	=
T15	todoist	Book trip mid January	mid January	2027-01-15	=
T16	todoist	Submit expenses end of month	end of month	2026-09-30	=
T17	todoist	Standup today at 10	today at 10	2026-09-24 10:00	=
T18	todoist	Dentist tomorrow at 16:00	tomorrow at 16:00	2026-09-25 16:00	=
T19	todoist	Drinks Fri 7pm	Fri 7pm	2026-09-25 19:00	=
T20	todoist	Drinks Fri at 7pm	Fri at 7pm	2026-09-25 19:00	=
T21	todoist	Drinks Fri at 1900	Fri at 1900	2026-09-25 19:00	=
T22	todoist	Drinks Fri at 19:00	Fri at 19:00	2026-09-25 19:00	=
T23	todoist	Take out bins 6pm	6pm	2026-09-24 18:00	=
T24	todoist	Follow up in 5 days	in 5 days	2026-09-29	=
T25	todoist	Follow up +5 days	+5 days	2026-09-29	=
T26	todoist	Review in 3 weeks	in 3 weeks	2026-10-15	=
T27	todoist	Check oven in 2 hours	in 2 hours	2026-09-24 16:00	=
T28	todoist	Stretch in the morning	in the morning	2026-09-25 09:00	=
T29	todoist	Learn piano someday	someday	2026-11-24	=
T30	todoist	Call bank Friday	Friday	2026-09-25	=
T31	todoist	Call bank next Friday	next Friday	2026-10-02	=
T32	todoist	Hike next weekend	next weekend	2026-10-03	=
T33	todoist	Hike this weekend	this weekend	2026-09-26	=
T34	todoist	Plan budget next year	next year	2027-01-01	=
T35	todoist	Book club 3rd friday jan	3rd friday jan	2027-01-15	=
T36	todoist	Gym tom morning	tom morning	2026-09-25 09:00	=
